     TIME           U            X
   4.99999970E-02  -9.61233228E-02  0.919999957    
   4.99999970E-02  -8.47137645E-02  0.930000007    
   4.99999970E-02  -7.30721429E-02  0.939999998    
   4.99999970E-02  -6.12243786E-02  0.949999988    
   4.99999970E-02  -4.91995923E-02  0.959999979    
   4.99999970E-02  -3.70297246E-02  0.969999969    
   4.99999970E-02  -2.47489940E-02  0.979999959    
   4.99999970E-02  -1.23933693E-02  0.989999950    
   4.99999970E-02   0.00000000       1.00000000    

   9.99999940E-02  -1.00000000       0.00000000    
   9.99999940E-02 -0.989954293       9.99999978E-03
   9.99999940E-02 -0.979909301       1.99999996E-02
   9.99999940E-02 -0.969865799       2.99999993E-02
   9.99999940E-02 -0.959824324       3.99999991E-02
   9.99999940E-02 -0.949785709       4.99999970E-02
   9.99999940E-02 -0.939750373       5.99999987E-02
   9.99999940E-02 -0.929719090       7.00000003E-02
   9.99999940E-02 -0.919692159       7.99999982E-02
   9.99999940E-02 -0.909670115       8.99999961E-02
   9.99999940E-02 -0.899653256       9.99999940E-02
   9.99999940E-02 -0.889641881      0.109999999    
   9.99999940E-02 -0.879636168      0.119999997    
   9.99999940E-02 -0.869636059      0.129999995    
   9.99999940E-02 -0.859641969      0.140000001    
   9.99999940E-02 -0.849653125      0.149999991    
   9.99999940E-02 -0.839670181      0.159999996    
   9.99999940E-02 -0.829692006      0.170000002    
   9.99999940E-02 -0.819719195      0.179999992    
   9.99999940E-02 -0.809750319      0.189999998    
   9.99999940E-02 -0.799785793      0.199999988    
   9.99999940E-02 -0.789824247      0.209999993    
   9.99999940E-02 -0.779865861      0.219999999    
   9.99999940E-02 -0.769909263      0.229999989    
   9.99999940E-02 -0.759954393      0.239999995    
   9.99999940E-02 -0.750000000      0.250000000    
   9.99999940E-02 -0.740045846      0.259999990    
   9.99999940E-02 -0.730090737      0.269999981    
   9.99999940E-02 -0.720134377      0.280000001    
   9.99999940E-02 -0.710175753      0.289999992    
   9.99999940E-02 -0.700214446      0.299999982    
   9.99999940E-02 -0.690249681      0.310000002    
   9.99999940E-02 -0.680281043      0.319999993    
   9.99999940E-02 -0.670307994      0.329999983    
   9.99999940E-02 -0.660330057      0.340000004    
   9.99999940E-02 -0.650346875      0.349999994    
   9.99999940E-02 -0.640358269      0.359999985    
   9.99999940E-02 -0.630363941      0.370000005    
   9.99999940E-02 -0.620364010      0.379999995    
   9.99999940E-02 -0.610358119      0.389999986    
   9.99999940E-02 -0.600346863      0.399999976    
   9.99999940E-02 -0.590329885      0.409999996    
   9.99999940E-02 -0.580307961      0.419999987    
   9.99999940E-02 -0.570280910      0.429999977    
   9.99999940E-02 -0.560249746      0.439999998    
   9.99999940E-02 -0.550214291      0.449999988    
   9.99999940E-02 -0.540175796      0.459999979    
   9.99999940E-02 -0.530134201      0.469999999    
   9.99999940E-02 -0.520090818      0.479999989    
   9.99999940E-02 -0.510045707      0.489999980    
   9.99999940E-02 -0.500000119      0.500000000    
   9.99999940E-02 -0.489954263      0.509999990    
   9.99999940E-02 -0.479909450      0.519999981    
   9.99999940E-02 -0.469865739      0.529999971    
   9.99999940E-02 -0.459824502      0.539999962    
   9.99999940E-02 -0.449785620      0.550000012    
   9.99999940E-02 -0.439750552      0.560000002    
   9.99999940E-02 -0.429718971      0.569999993    
   9.99999940E-02 -0.419692248      0.579999983    
   9.99999940E-02 -0.409670025      0.589999974    
   9.99999940E-02 -0.399653316      0.599999964    
   9.99999940E-02 -0.389641821      0.610000014    
   9.99999940E-02 -0.379636168      0.620000005    
   9.99999940E-02 -0.369636089      0.629999995    
   9.99999940E-02 -0.359641910      0.639999986    
   9.99999940E-02 -0.349653214      0.649999976    
   9.99999940E-02 -0.339670122      0.659999967    
   9.99999940E-02 -0.329692125      0.669999957    
   9.99999940E-02 -0.319719106      0.680000007    
   9.99999940E-02 -0.309750378      0.689999998    
   9.99999940E-02 -0.299785733      0.699999988    
   9.99999940E-02 -0.289824367      0.709999979    
   9.99999940E-02 -0.279865831      0.719999969    
   9.99999940E-02 -0.269909352      0.729999959    
   9.99999940E-02 -0.259954363      0.740000010    
   9.99999940E-02 -0.250000060      0.750000000    
   9.99999940E-02 -0.240045756      0.759999990    
   9.99999940E-02 -0.230090737      0.769999981    
   9.99999940E-02 -0.220134288      0.779999971    
   9.99999940E-02 -0.210175723      0.789999962    
   9.99999940E-02 -0.200214386      0.799999952    
   9.99999940E-02 -0.190249667      0.810000002    
   9.99999940E-02 -0.180281028      0.819999993    
   9.99999940E-02 -0.170307934      0.829999983    
   9.99999940E-02 -0.160329998      0.839999974    
   9.99999940E-02 -0.150346845      0.849999964    
   9.99999940E-02 -0.140358239      0.859999955    
   9.99999940E-02 -0.130363971      0.870000005    
   9.99999940E-02 -0.120363981      0.879999995    
   9.99999940E-02 -0.110358223      0.889999986    
   9.99999940E-02 -0.100346833      0.899999976    
   9.99999940E-02  -9.03299749E-02  0.909999967    
   9.99999940E-02  -8.03079158E-02  0.919999957    
   9.99999940E-02  -7.02809915E-02  0.930000007    
   9.99999940E-02  -6.02496415E-02  0.939999998    
   9.99999940E-02  -5.02143539E-02  0.949999988    
   9.99999940E-02  -4.01756838E-02  0.959999979    
   9.99999940E-02  -3.01342495E-02  0.969999969    
   9.99999940E-02  -2.00906917E-02  0.979999959    
   9.99999940E-02  -1.00457063E-02  0.989999950    
   9.99999940E-02   0.00000000       1.00000000    

  0.199999988      -1.00000000       0.00000000    
  0.199999988     -0.989999533       9.99999978E-03
  0.199999988     -0.979999125       1.99999996E-02
  0.199999988     -0.969998717       2.99999993E-02
  0.199999988     -0.959998369       3.99999991E-02
  0.199999988     -0.949998081       4.99999970E-02
  0.199999988     -0.939997792       5.99999987E-02
  0.199999988     -0.929997563       7.00000003E-02
  0.199999988     -0.919997394       7.99999982E-02
  0.199999988     -0.909997225       8.99999961E-02
  0.199999988     -0.899997115       9.99999940E-02
  0.199999988     -0.889997065      0.109999999    
  0.199999988     -0.879997015      0.119999997    
  0.199999988     -0.869997025      0.129999995    
  0.199999988     -0.859997094      0.140000001    
  0.199999988     -0.849997163      0.149999991    
  0.199999988     -0.839997292      0.159999996    
  0.199999988     -0.829997480      0.170000002    
  0.199999988     -0.819997668      0.179999992    
  0.199999988     -0.809997916      0.189999998    
  0.199999988     -0.799998224      0.199999988    
  0.199999988     -0.789998472      0.209999993    
  0.199999988     -0.779998899      0.219999999    
  0.199999988     -0.769999146      0.229999989    
  0.199999988     -0.759999692      0.239999995    
  0.199999988     -0.750000000      0.250000000    
  0.199999988     -0.740000546      0.259999990    
  0.199999988     -0.730000854      0.269999981    
  0.199999988     -0.720001340      0.280000001    
  0.199999988     -0.710001588      0.289999992    
  0.199999988     -0.700002015      0.299999982    
  0.199999988     -0.690002203      0.310000002    
  0.199999988     -0.680002570      0.319999993    
  0.199999988     -0.670002639      0.329999983    
  0.199999988     -0.660002947      0.340000004    
  0.199999988     -0.650002956      0.349999994    
  0.199999988     -0.640003145      0.359999985    
  0.199999988     -0.630003095      0.370000005    
  0.199999988     -0.620003223      0.379999995    
  0.199999988     -0.610003054      0.389999986    
  0.199999988     -0.600003123      0.399999976    
  0.199999988     -0.590002894      0.409999996    
  0.199999988     -0.580002844      0.419999987    
  0.199999988     -0.570002556      0.429999977    
  0.199999988     -0.560002446      0.439999998    
  0.199999988     -0.550002038      0.449999988    
  0.199999988     -0.540001869      0.459999979    
  0.199999988     -0.530001402      0.469999999    
  0.199999988     -0.520001173      0.479999989    
  0.199999988     -0.510000765      0.489999980    
  0.199999988     -0.500000596      0.500000000    
  0.199999988     -0.490000248      0.509999990    
  0.199999988     -0.480000138      0.519999981    
  0.199999988     -0.469999820      0.529999971    
  0.199999988     -0.459999740      0.539999962    
  0.199999988     -0.449999452      0.550000012    
  0.199999988     -0.439999402      0.560000002    
  0.199999988     -0.429999173      0.569999993    
  0.199999988     -0.419999123      0.579999983    
  0.199999988     -0.409998983      0.589999974    
  0.199999988     -0.399998933      0.599999964    
  0.199999988     -0.389998853      0.610000014    
  0.199999988     -0.379998803      0.620000005    
  0.199999988     -0.369998783      0.629999995    
  0.199999988     -0.359998763      0.639999986    
  0.199999988     -0.349998772      0.649999976    
  0.199999988     -0.339998811      0.659999967    
  0.199999988     -0.329998851      0.669999957    
  0.199999988     -0.319998920      0.680000007    
  0.199999988     -0.309999019      0.689999998    
  0.199999988     -0.299999118      0.699999988    
  0.199999988     -0.289999247      0.709999979    
  0.199999988     -0.279999405      0.719999969    
  0.199999988     -0.269999564      0.729999959    
  0.199999988     -0.259999692      0.740000010    
  0.199999988     -0.249999806      0.750000000    
  0.199999988     -0.239999920      0.759999990    
  0.199999988     -0.230000019      0.769999981    
  0.199999988     -0.220000103      0.779999971    
  0.199999988     -0.210000187      0.789999962    
  0.199999988     -0.200000256      0.799999952    
  0.199999988     -0.190000311      0.810000002    
  0.199999988     -0.180000365      0.819999993    
  0.199999988     -0.170000404      0.829999983    
  0.199999988     -0.160000429      0.839999974    
  0.199999988     -0.150000453      0.849999964    
  0.199999988     -0.140000463      0.859999955    
  0.199999988     -0.130000457      0.870000005    
  0.199999988     -0.120000444      0.879999995    
  0.199999988     -0.110000432      0.889999986    
  0.199999988     -0.100000411      0.899999976    
  0.199999988      -9.00003836E-02  0.909999967    
  0.199999988      -8.00003558E-02  0.919999957    
  0.199999988      -7.00003207E-02  0.930000007    
  0.199999988      -6.00002781E-02  0.939999998    
  0.199999988      -5.00002354E-02  0.949999988    
  0.199999988      -4.00001928E-02  0.959999979    
  0.199999988      -3.00001465E-02  0.969999969    
  0.199999988      -2.00000983E-02  0.979999959    
  0.199999988      -1.00000491E-02  0.989999950    
  0.199999988       0.00000000       1.00000000    

